Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R3,0.006016044,0.258587,1.450239,0.002810671,0.0185025,-0.004331589,81.36237016,2
R3,0.008274177,0.2661904,1.446916,0.002258133,0.007603407,-0.003322959,73.4591267,2
R3,0.009316539,0.2696957,1.445743,0.001042362,0.00350529,-0.001173258,73.43919284,2
R3,0.01068529,0.2736872,1.445257,0.001368755,0.003991485,-0.000486136,71.07219771,2
R3,0.01110887,0.2797199,1.445434,0.000423575,0.006032765,0.000177503,85.98371799,2
R3,0.01259104,0.2852939,1.444849,0.001482166,0.005573988,-0.000585318,75.10919222,2
R3,0.01414573,0.2884472,1.444638,0.001554698,0.003153294,-0.000210524,63.75488935,2
R3,0.01595068,0.2961207,1.444695,0.001804947,0.007673442,5.65E-05,76.7635042,2
R3,0.0187623,0.3005502,1.444037,0.002811618,0.004429489,-0.000657916,57.59466302,2
R3,0.02266462,0.3072934,1.443272,0.003902322,0.006743222,-0.000764847,59.94190982,2
R3,0.027866,0.3143697,1.442223,0.005201381,0.007076353,-0.001049161,53.68273869,2
R3,0.05629279,0.351115,1.4381,0.02842679,0.03674525,-0.004122853,52.2738156,2
R3,0.07732031,0.364714,1.442805,0.02102752,0.01359904,0.004705191,32.8917918,1
R3,0.08833186,0.3748587,1.444446,0.01101156,0.01014471,0.001640797,42.65369414,1
R3,0.1083249,0.397764,1.446878,0.01999301,0.02290523,0.002431631,48.88366269,2
R3,0.146066,0.4354293,1.453501,0.0377411,0.03766537,0.006623507,44.94245841,2
R3,0.1616872,0.4431155,1.460828,0.01562123,0.007686168,0.007327199,26.19872998,1
R3,0.1797403,0.4529346,1.466063,0.01805304,0.009819061,0.00523448,28.54180008,1
R3,0.2348214,0.474463,1.477403,0.05508117,0.02152839,0.01133966,21.34796635,1
R3,0.2437816,0.4753711,1.481102,0.008960187,0.000908166,0.003699541,5.787490694,1
R3,0.2621401,0.4770276,1.484183,0.01835851,0.001656502,0.003080964,5.155878668,1
R3,0.2800143,0.4800794,1.487355,0.01787415,0.003051728,0.003171444,9.688923152,1
R3,0.2886111,0.4783316,1.489853,0.008596808,-0.001747787,0.002498388,348.5080215,8
R3,0.2970394,0.4793525,1.491573,0.008428305,0.001020938,0.001720309,6.906706682,1
R3,0.3930992,0.441846,1.508767,0.09605983,-0.03750649,0.01719356,338.6718771,8
R3,0.3991709,0.4367768,1.509975,0.006071717,-0.005069256,0.001207948,320.1416087,8
R3,0.4058214,0.4309324,1.511111,0.006650507,-0.005844355,0.001136065,318.6915315,8
R3,0.4117931,0.4224563,1.511478,0.00597167,-0.008476138,0.000367284,305.1657381,7
R3,0.4181471,0.4166008,1.511949,0.006354034,-0.005855471,0.000471115,317.3383171,8
R3,0.4224102,0.4080325,1.514435,0.004263014,-0.008568317,0.00248611,296.451826,7
R3,0.4260347,0.3991103,1.514712,0.003624499,-0.008922189,0.000276804,292.1086751,7
R3,0.4298394,0.3894326,1.516556,0.003804773,-0.009677649,0.001843572,291.4622981,7
R3,0.4553778,0.2509153,1.532138,0.02553833,-0.1385173,0.01558185,280.4462705,7
R3,0.4551036,0.2402351,1.530486,-0.000274152,-0.01068026,-0.001651168,268.5295975,6
R3,0.4542023,0.2297005,1.530173,-0.000901341,-0.01053457,-0.00031352,265.1096637,6
R3,0.4530466,0.2170835,1.528808,-0.001155645,-0.01261699,-0.00136435,264.7666329,6
R3,0.466788,0.2070893,1.527375,0.0137414,-0.009994179,-0.001433253,323.9714443,8
R3,0.4672548,0.1959636,1.525685,0.000466734,-0.01112576,-0.001689792,272.4021936,7
R3,0.467871,0.1662879,1.519571,0.000616193,-0.02967562,-0.006114602,271.1895345,7
R3,0.4648221,0.1620857,1.518718,-0.003048837,-0.004202276,-0.000852943,234.0383487,6
R4,-0.008849247,0.3510489,1.463239,0.003938951,0.004321277,0.000636101,47.65005316,2
R4,-0.004764626,0.3579549,1.462443,0.004084622,0.006906003,-0.00079596,59.39739872,2
R4,-0.000950812,0.3623171,1.463377,0.003813814,0.004362196,0.00093472,48.83719993,2
R4,0.003735959,0.3655384,1.462871,0.00468677,0.003221273,-0.000506163,34.50120576,1
R4,0.008649715,0.3699757,1.46303,0.004913757,0.004437387,0.000158787,42.08373471,1
R4,0.03940585,0.4049623,1.459908,0.03075614,0.03498656,-0.003121972,48.68180031,2
R4,0.07678714,0.4315265,1.458286,0.03738129,0.02656421,-0.001622081,35.39868619,1
R4,0.08220994,0.4330732,1.459575,0.005422801,0.001546651,0.00128901,15.91881562,1
R4,0.08887467,0.4382785,1.459469,0.006664723,0.005205333,-0.000105739,37.99082076,1
R4,0.09637605,0.4452971,1.460312,0.007501379,0.007018626,0.000842571,43.09576342,1
R4,0.1046243,0.4528241,1.461489,0.008248217,0.007526964,0.001176834,42.38221742,1
R4,0.1120659,0.4544902,1.462311,0.007441632,0.001666129,0.000821948,12.61999671,1
R4,0.1194239,0.4619283,1.462195,0.007358022,0.007438064,-0.000115991,45.30994846,2
R4,0.1272289,0.4638735,1.463023,0.007805012,0.001945198,0.000828624,13.99440137,1
R4,0.172864,0.482437,1.464248,0.04563503,0.01856357,0.001224518,22.13567282,1
R4,0.1784176,0.4825677,1.465128,0.005553603,0.000130683,0.000879884,1.347992333,1
R4,0.1864374,0.4824974,1.465623,0.00801985,-7.03E-05,0.000494957,359.4977461,8
R4,0.2143603,0.4780401,1.469999,0.02792285,-0.004457295,0.004376173,350.9304537,8
R4,0.2361932,0.4783359,1.471952,0.02183288,0.000295818,0.001953602,0.776264062,1
R4,0.2483551,0.4788234,1.47297,0.01216194,0.000487477,0.00101769,2.29530887,1
R4,0.25904,0.477551,1.472791,0.01068488,-0.00127244,-0.000179172,353.2087493,8
R4,0.2711523,0.4775869,1.473498,0.01211232,3.59E-05,0.000707507,0.169734712,1
R4,0.281305,0.4767168,1.473112,0.01015267,-0.000870049,-0.000386357,355.1019152,8
R4,0.2928766,0.4734232,1.473059,0.01157165,-0.003293604,-5.30E-05,344.112216,8
R4,0.3053763,0.4712605,1.475019,0.01249972,-0.002162755,0.001960039,350.1836281,8
R4,0.3169308,0.4671147,1.474371,0.01155451,-0.004145801,-0.000648499,340.2618255,8
R4,0.3281108,0.4632072,1.475383,0.01117992,-0.003907472,0.001012206,340.7350684,8
R4,0.3833714,0.4325413,1.482881,0.05526069,-0.03066587,0.007498145,330.9727478,8
R4,0.3914125,0.4279519,1.484324,0.008041084,-0.004589438,0.001443148,330.2844937,8
R4,0.4263426,0.3889737,1.497752,0.03493005,-0.03897813,0.01342821,311.8649427,7
R4,0.4332552,0.3812148,1.499923,0.006912589,-0.007758945,0.002171159,311.6984405,7
R4,0.439447,0.3722663,1.501679,0.00619179,-0.008948535,0.001755595,304.6806528,7
R4,0.3531843,0.3109638,1.501742,-0.08626264,-0.06130245,6.32E-05,215.3994628,5
R4,0.3582738,0.3033149,1.502229,0.005089462,-0.007648945,0.000486732,303.6390361,7
R4,0.3628945,0.2835413,1.502565,0.004620701,-0.0197736,0.000335574,283.1528747,7
R4,0.3727382,0.249361,1.503363,0.009843677,-0.03418027,0.000798225,286.0660279,7
R4,0.4265133,0.1719376,1.501324,0.05377513,-0.07742342,-0.002039194,304.7822576,7
R4,0.4304769,0.1579836,1.502127,0.003963619,-0.01395397,0.000803232,285.8571739,7
R4,0.4302314,0.1576664,1.501613,-0.000245512,-0.000317156,-0.00051415,232.2564547,6
R4,0.4340148,0.1567176,1.502726,0.003783375,-0.000948802,0.001113534,345.9216053,8
R5,-0.09089581,0.2203435,1.335563,-0.09089581,0.2203435,1.335563,112.4170622,3
R5,-0.0904747,0.223036,1.336634,0.000421107,0.002692506,0.001071572,81.11097514,2
R5,-0.08595277,0.248065,1.335988,0.004521936,0.02502899,-0.000646591,79.75896164,2
R5,-0.08464842,0.25196,1.337429,0.001304351,0.003894985,0.00144124,71.48535335,2
R5,-0.0830583,0.2556469,1.338594,0.001590118,0.003686875,0.00116539,66.66987208,2
R5,-0.08099636,0.2597318,1.340091,0.002061941,0.004084915,0.001496911,63.21674282,2
R5,-0.07712405,0.2662531,1.33963,0.003872305,0.006521314,-0.000461698,59.29849233,2
R5,-0.07479095,0.270759,1.339923,0.002333105,0.004505932,0.000293374,62.62554669,2
R5,-0.0506066,0.3143365,1.342905,0.02418434,0.04357749,0.00298202,60.97089833,2
R5,0.01864392,0.3770163,1.348521,0.06925052,0.0626798,0.005615711,42.14876984,1
R5,0.02309178,0.3786365,1.349699,0.004447863,0.001620173,0.001178384,20.01459546,1
R5,0.02971998,0.3826542,1.350912,0.006628197,0.00401774,0.001212716,31.22251769,1
R5,0.03653617,0.386236,1.350613,0.006816193,0.003581822,-0.000299215,27.72135027,1
R5,0.04311541,0.3931198,1.352261,0.006579239,0.00688374,0.001648903,46.29567521,2
R5,0.05865466,0.4001634,1.353784,0.01553925,0.00704363,0.001522541,24.38383242,1
R5,0.06602579,0.4041737,1.356547,0.007371124,0.00401026,0.00276351,28.54840121,1
R5,0.07350351,0.4114312,1.358718,0.007477723,0.007257491,0.002170324,44.14372301,2
R5,0.1175391,0.4375268,1.36427,0.04403563,0.02609563,0.005552411,30.65109344,1
R5,0.1245435,0.4363234,1.366212,0.007004373,-0.001203358,0.001942158,350.2516956,8
R5,0.1831017,0.4544702,1.374437,0.05855817,0.01814678,0.008225083,17.2178545,1
R5,0.1868687,0.4558441,1.376826,0.003767043,0.001373857,0.002388954,20.0371331,1
R5,0.1954449,0.459911,1.378305,0.008576155,0.004066944,0.001478195,25.37102409,1
R5,0.2033627,0.4603357,1.380304,0.007917807,0.000424653,0.00199914,3.069985551,1
R5,0.2212137,0.4628432,1.383932,0.01785102,0.002507538,0.003628373,7.996036474,1
R5,0.3559826,0.4225254,1.402413,0.1347689,-0.04031777,0.01848137,343.3448012,8
