Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R2,0.3805787,0.3038795,1.465291,0.000397861,-0.000220031,-0.000679612,331.0559321,8
R2,0.3841629,0.3035436,1.464962,0.003584176,-0.000335902,-0.000328898,354.6459894,8
R2,0.3861992,0.3028194,1.465073,0.002036333,-0.000724256,0.000110149,340.4212169,8
R2,0.3885597,0.3029506,1.464747,0.002360523,0.000131249,-0.000325799,3.18247332,1
R2,0.3928446,0.3020133,1.462948,0.004284889,-0.000937313,-0.001798749,347.6609978,8
R2,0.3965369,0.3020936,1.463389,0.00369224,8.03E-05,0.000441074,1.246157989,1
R2,0.4016978,0.3015521,1.462601,0.005160987,-0.000541478,-0.000787973,354.0105764,8
R2,0.4148495,0.3004304,1.465753,0.01315165,-0.001121759,0.00315237,355.124804,8
R3,-0.05278426,0.3262826,1.463478,-0.05278426,0.3262826,1.463478,99.18939243,3
R3,-0.04965202,0.3296242,1.462223,0.003132239,0.003341615,-0.00125587,46.85240215,2
R3,-0.04470528,0.3295819,1.459307,0.004946746,-4.22E-05,-0.002915144,359.5108834,8
R3,-0.04283101,0.3292277,1.458058,0.001874264,-0.000354201,-0.001249313,349.2983843,8
R3,-0.03921549,0.3323567,1.457222,0.003615517,0.003128946,-0.000836134,40.87361534,1
R3,-0.03551169,0.3281097,1.455197,0.003703807,-0.00424698,-0.00202477,311.0918034,7
R3,-0.03167348,0.3281018,1.452678,0.003838211,-7.87E-06,-0.002519131,359.8825516,8
R3,-0.02777512,0.330669,1.451458,0.00389836,0.002567172,-0.001220226,33.36594893,1
R3,-0.02498386,0.3298951,1.451041,0.002791259,-0.000773907,-0.000416875,344.5033916,8
R3,-0.01862661,0.3296582,1.448583,0.006357251,-0.000236929,-0.002458334,357.8656304,8
R3,-0.01364157,0.3294967,1.446813,0.004985035,-0.000161499,-0.001769304,358.1444535,8
R3,-0.009206761,0.3284544,1.445924,0.00443481,-0.001042277,-0.000889301,346.7742655,8
R3,-0.005513771,0.327678,1.445589,0.00369299,-0.00077638,-0.000335217,348.1275553,8
R3,8.10E-05,0.3273551,1.443399,0.005594815,-0.000322968,-0.002190113,356.6961949,8
R3,0.006653674,0.3270734,1.441706,0.00657263,-0.000281692,-0.00169301,357.5459034,8
R3,0.01179836,0.326778,1.440918,0.005144686,-0.000295401,-0.000787377,356.7137656,8
R3,0.0159038,0.3231222,1.438993,0.004105443,-0.003655761,-0.001924992,318.3159942,8
R3,0.02321607,0.322033,1.438005,0.007312266,-0.001089245,-0.000988483,351.5274441,8
R3,0.06399107,0.317867,1.430733,0.040775,-0.004165977,-0.007271409,354.1663393,8
R3,0.06759154,0.3172002,1.43035,0.003600471,-0.000666738,-0.000383139,349.5087736,8
R3,0.07285567,0.3168008,1.429997,0.005264133,-0.00039947,-0.000353456,355.6604099,8
R3,0.07798602,0.3147902,1.429261,0.005130351,-0.002010614,-0.000735641,338.5995021,8
R3,0.08540191,0.3120477,1.428905,0.007415883,-0.00274241,-0.00035584,339.7054943,8
R3,0.09174936,0.3131195,1.429552,0.006347455,0.001071781,0.000646234,9.584109817,1
R3,0.1770989,0.3175816,1.435729,0.08534949,0.004462093,0.006177664,2.992713294,1
R3,0.1801418,0.3172359,1.437041,0.003042966,-0.000345767,0.001311541,353.5173927,8
R3,0.1843727,0.3180857,1.438443,0.004230902,0.000849843,0.001402497,11.35761656,1
R3,0.1885936,0.3181714,1.439999,0.004220843,8.57E-05,0.001555204,1.162520664,1
R3,0.1938924,0.320684,1.440176,0.005298838,0.002512693,0.000177741,25.37016688,1
R3,0.1996289,0.3223082,1.441104,0.005736515,0.001624197,0.000927925,15.80857087,1
R3,0.2709066,0.3282838,1.448877,0.07127768,0.005975604,0.007772565,4.792217343,1
R3,0.2743219,0.3248667,1.448015,0.003415346,-0.003417194,-0.000861645,314.9845032,8
R3,0.2756804,0.3234985,1.447322,0.00135842,-0.001368195,-0.00069356,314.7945937,8
R3,0.2806613,0.3228977,1.447747,0.004980952,-0.000600725,0.000425577,353.1230834,8
R3,0.2846988,0.3184876,1.446528,0.004037529,-0.004410088,-0.001218915,312.474763,7
R3,0.2907994,0.3181519,1.446679,0.006100595,-0.000335723,0.000151157,356.8501204,8
R3,0.2961351,0.3178034,1.447443,0.005335659,-0.000348538,0.000763178,356.2626104,8
R3,0.302289,0.3157047,1.447268,0.006153882,-0.00209868,-0.000174403,341.1689036,8
R3,0.309671,0.3147936,1.446694,0.007382005,-0.000911057,-0.000574589,352.9643653,8
R3,0.313992,0.3120111,1.446571,0.004321009,-0.002782583,-0.000122547,327.2198407,8
R4,-0.002491234,0.2907611,1.460518,-0.002491234,0.2907611,1.460518,90.49089683,3
R4,-0.004176337,0.3043695,1.462217,-0.001685103,0.0136084,0.001699567,97.05889775,3
R4,-0.004249908,0.3109611,1.460773,-7.36E-05,0.006591588,-0.001444221,90.63947343,3
R4,-0.004887144,0.3140907,1.458312,-0.000637236,0.003129661,-0.002461195,101.5087698,3
R4,-0.004159211,0.3172165,1.457146,0.000727932,0.003125817,-0.001165628,76.89074984,2
R4,-0.003113531,0.3200366,1.455322,0.00104568,0.002820075,-0.001824737,69.65528764,2
R4,-0.002106005,0.3227172,1.453766,0.001007526,0.00268057,-0.001555324,69.4006372,2
R4,-0.001070717,0.3227171,1.453851,0.001035288,-5.96E-08,8.44E-05,359.9967013,8
R4,0.02666546,0.3195762,1.443941,0.02773617,-0.003140926,-0.009910107,353.5391803,8
R4,0.05825685,0.3148212,1.432637,0.0315914,-0.00475505,-0.01130319,351.4402536,8
R4,0.06218728,0.3120728,1.431305,0.003930427,-0.002748311,-0.001332283,325.0372225,8
R4,0.06721955,0.3101849,1.42999,0.005032267,-0.001887918,-0.001314759,339.4357912,8
R4,0.07244297,0.3095018,1.428449,0.005223423,-0.000683099,-0.001541734,352.5493628,8
R4,0.07738949,0.3086909,1.427512,0.004946515,-0.000810891,-0.000936508,350.6902031,8
R4,0.08328145,0.3063866,1.427385,0.005891964,-0.002304316,-0.000127077,338.6397945,8
R4,0.1358321,0.3028297,1.4361,0.05255061,-0.003556967,0.008714676,356.1277554,8
R4,0.1802243,0.3097496,1.440881,0.04439226,0.00691995,0.004781485,8.860070263,1
R4,0.1844629,0.3100449,1.4393,0.004238546,0.000295281,-0.001581311,3.985113609,1
R4,0.1890787,0.3098728,1.438408,0.004615858,-0.000172108,-0.000891447,357.8646399,8
R4,0.1971239,0.3085325,1.436563,0.008045226,-0.0013403,-0.001845717,350.5416344,8
R4,0.2015406,0.3079182,1.436156,0.004416704,-0.000614256,-0.000406385,352.082343,8
R4,0.2054448,0.3053342,1.434468,0.003904179,-0.00258407,-0.001688242,326.5005073,8
R4,0.2098912,0.3052878,1.43437,0.004446372,-4.64E-05,-9.86E-05,359.4024686,8
R4,0.2324226,0.2993684,1.435026,0.02253145,-0.005919337,0.000656843,345.2802029,8
R4,0.2377676,0.2997328,1.433869,0.005344957,0.000364393,-0.001157522,3.900110835,1
R4,0.2703597,0.3013126,1.434958,0.03259212,0.001579791,0.001089573,2.775044035,1
R4,0.2746981,0.3039345,1.435072,0.004338413,0.002621919,0.000113726,31.14665845,1
R4,0.2798518,0.3037404,1.435125,0.005153686,-0.000194132,5.32E-05,357.8427663,8
R4,0.2856839,0.3043373,1.434158,0.005832046,0.000596881,-0.000967622,5.843591818,1
R4,0.2902009,0.3048041,1.435146,0.004517049,0.000466824,0.000988007,5.900401534,1
R4,0.296693,0.306977,1.434958,0.006492078,0.002172917,-0.000188112,18.50554049,1
R4,0.3181676,0.3115302,1.43758,0.02147463,0.004553139,0.002621889,11.97080755,1
R4,0.3234862,0.3123394,1.438483,0.005318582,0.000809193,0.00090313,8.650891533,1
R4,0.3279168,0.3136614,1.438875,0.004430562,0.001322031,0.000392795,16.61452504,1
R4,0.332438,0.3121912,1.438728,0.004521251,-0.001470178,-0.00014782,341.9869969,8
R4,0.3779613,0.3064808,1.443174,0.04552326,-0.005710453,0.004446149,352.8501438,8
R4,0.3815649,0.3071344,1.443109,0.003603637,0.000653625,-6.46E-05,10.28049308,1
R4,0.3855249,0.3067377,1.443106,0.003960013,-0.000396729,-3.22E-06,354.2789897,8
R4,0.3894258,0.3048886,1.44494,0.003900915,-0.001849055,0.001834154,334.6387929,8
R4,0.4404668,0.3071058,1.451564,0.05104098,0.002217174,0.006623745,2.487313137,1
R5,-0.03690828,0.2979243,1.526002,-0.03690828,0.2979243,1.526002,97.06209217,3
R5,-0.03640036,0.297848,1.524946,0.000507921,-7.64E-05,-0.001055241,351.450988,8
R5,-0.03653428,0.3006218,1.523698,-0.000133921,0.002773821,-0.001248121,92.7641026,3
R5,-0.036632,0.3028237,1.522167,-9.77E-05,0.002201915,-0.001531243,92.54114087,3
R5,-0.03623291,0.3027484,1.521381,0.00039909,-7.53E-05,-0.000785708,349.3177752,8
R5,-0.03581771,0.3024682,1.519464,0.000415199,-0.000280201,-0.001917362,325.9861098,8
R5,-0.03403131,0.3029639,1.519411,0.001786403,0.000495642,-5.25E-05,15.50682009,1
R5,-0.02002937,0.3051296,1.514902,0.01400194,0.002165705,-0.00450933,8.792367725,1
