F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,Label
3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,8,1,2,1,8,8,8,1,8,7,6,7,7,7,7,kurva
2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,7,8,7,8,7,7,8,7,7,8,6,7,7,7,7,kurva
7,4,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,7,1,8,1,8,1,1,8,8,8,8,8,7,7,7,7,7,7,7,5,kurva
2,2,2,3,2,2,2,2,2,2,2,1,1,2,1,1,1,1,8,8,8,8,7,7,8,7,7,7,7,7,7,8,8,7,7,7,7,7,7,kurva
3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,8,8,8,8,8,8,7,8,7,7,7,6,7,7,7,5,5,5,kurva
3,3,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,7,5,7,7,kurva
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,7,6,7,7,7,6,7,8,5,kurva
3,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,8,1,1,1,1,1,8,8,8,7,7,7,7,7,7,7,7,8,7,7,7,7,7,kurva
3,3,3,3,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,8,1,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,kurva
2,3,3,7,6,2,3,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,8,8,8,8,8,7,6,7,7,7,7,6,6,7,7,7,kurva
3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,7,7,7,7,7,8,7,7,kurva
3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,7,7,7,5,7,6,kurva
2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,7,8,7,7,7,7,7,7,5,kurva
3,3,3,3,3,3,7,2,3,2,2,2,2,2,1,1,1,1,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,8,6,1,kurva
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,8,8,8,8,7,8,7,7,7,7,5,8,7,7,7,8,1,5,6,kurva
2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,7,7,6,7,6,8,7,2,kurva
1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,8,8,7,8,7,7,7,7,5,7,7,7,1,7,7,7,7,7,7,6,7,7,7,kurva
2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,8,1,8,8,8,7,8,7,7,7,7,6,6,6,8,7,7,6,kurva
2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,8,8,1,1,8,1,8,8,8,8,8,8,8,7,7,7,5,7,7,7,7,7,6,8,kurva
2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,8,1,1,1,1,1,8,7,7,7,7,7,5,7,7,8,7,6,7,6,6,6,kurva
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,7,8,7,7,7,7,7,7,6,6,kurva
3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,8,8,8,8,8,8,7,7,7,7,6,6,kurva
3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,8,1,8,1,1,8,8,8,8,8,8,8,8,8,8,7,7,kurva
2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,7,6,7,8,7,kurva
