Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R3,0.4083332,0.3121115,1.209718,0.0065376,-0.0001492,358.6926324,8
R3,0.4151884,0.3108255,1.210927,0.0068552,-1.29E-03,349.3750966,8
R3,0.4231395,0.3100187,1.212687,0.0079511,-0.0008068,354.2060147,8
R3,0.4293497,0.3100035,1.214224,0.0062102,-1.52E-05,359.8597639,8
R3,0.4340798,0.3078537,1.216109,0.0047301,-0.0021498,335.5585094,8
R3,0.4405619,0.3057673,1.217295,0.0064821,-2.09E-03,342.1581386,8
R3,0.4451133,0.3038561,1.218624,0.0045514,-0.0019112,337.2217464,8
R4,0.03677236,0.3105273,1.262391,-0.40834094,6.67E-03,179.0640233,5
R4,0.06203392,0.3039166,1.255556,0.02526156,-0.0066107,345.3351175,8
R4,0.07206773,0.3138432,1.250733,0.01003381,9.93E-03,44.69225976,2
R4,0.08014349,0.315798,1.249357,0.00807576,0.0019548,13.60715832,1
R4,0.08581316,0.3143008,1.246923,0.00566967,-1.50E-03,345.2074763,8
R4,0.09388212,0.3153974,1.244408,0.00806896,0.0010966,7.739282502,1
R4,0.1007085,0.315744,1.243155,0.00682638,3.47E-04,2.906617934,1
R4,0.1073636,0.3135716,1.240909,0.0066551,-0.0021724,341.921953,8
R4,0.1153174,0.3136794,1.239619,0.0079538,1.08E-04,0.776497634,1
R4,0.1215205,0.3138828,1.239989,0.0062031,0.0002034,1.878058956,1
R4,0.156335,0.3160754,1.233862,0.0348145,2.19E-03,3.603700306,1
R4,0.1984407,0.3031093,1.224543,0.0421057,-0.0129661,342.8842197,8
R4,0.2052943,0.3032824,1.224538,0.0068536,1.73E-04,1.446800418,1
R4,0.2095862,0.303623,1.224063,0.0042919,0.0003406,4.537414531,1
R4,0.2152417,0.3033499,1.223265,0.0056555,-2.73E-04,357.2353759,8
R4,0.2210938,0.3038838,1.222752,0.0058521,0.0005339,5.212789827,1
R4,0.2280649,0.3031451,1.223655,0.0069711,-7.39E-04,353.951165,8
R4,0.2347787,0.3037079,1.223338,0.0067138,0.0005628,4.791749873,1
R4,0.2420078,0.304006,1.222507,0.0072291,2.98E-04,2.361317559,1
R4,0.2813694,0.3011821,1.226102,0.0393616,-0.0028239,355.8964875,8
R4,0.3277884,0.2946337,1.22987,0.046419,-6.55E-03,351.9701837,8
R4,0.3313127,0.2949035,1.229466,0.0035243,0.0002698,4.377694529,1
R4,0.33493,0.2940063,1.230198,0.0036173,-8.97E-04,346.0700227,8
R4,0.3396479,0.294467,1.230343,0.0047179,0.0004607,5.577215084,1
R4,0.3465855,0.2940346,1.230752,0.0069376,-4.32E-04,356.4335376,8
R4,0.3500859,0.2920226,1.230632,0.0035004,-0.002012,330.1100789,8
R4,0.3531042,0.2903818,1.230434,0.0030183,-1.64E-03,331.4707333,8
R4,0.357167,0.2905146,1.228881,0.0040628,0.0001328,1.872150096,1
R4,0.3740421,0.2860249,1.225419,0.0168751,-4.49E-03,345.101322,8
R4,0.3769198,0.284767,1.226915,0.0028777,-0.0012579,336.3889031,8
R4,0.3822032,0.2855172,1.227204,0.0052834,7.50E-04,8.081513164,1
R4,0.4034467,0.2727435,1.233757,0.0212435,-0.0127737,328.9815396,8
R4,0.4155431,0.291195,1.231269,0.0120964,1.85E-02,56.75202732,2
R4,0.4197761,0.2876605,1.231439,0.004233,-0.0035345,320.1385572,8
R4,0.4258938,0.2868926,1.23274,0.0061177,-7.68E-04,352.845592,8
R4,0.4511829,0.2867678,1.232468,0.0252891,-0.0001248,359.7172515,8
R4,0.453172,0.2865917,1.234422,0.0019891,-1.76E-04,354.9406522,8
R4,0.4569058,0.2864291,1.235509,0.0037338,-0.0001626,357.5064516,8
