@relation dataTraining_tahap2

@attribute L1 numeric
@attribute L2 numeric
@attribute L3 numeric
@attribute L4 numeric
@attribute L5 numeric
@attribute L6 numeric
@attribute L7 numeric
@attribute L8 numeric
@attribute L9 numeric
@attribute L10 numeric
@attribute L11 numeric
@attribute L12 numeric
@attribute L13 numeric
@attribute L14 numeric
@attribute L15 numeric
@attribute L16 numeric
@attribute L17 numeric
@attribute L18 numeric
@attribute R19 numeric
@attribute R20 numeric
@attribute R21 numeric
@attribute R22 numeric
@attribute R23 numeric
@attribute R24 numeric
@attribute R25 numeric
@attribute R26 numeric
@attribute R27 numeric
@attribute R28 numeric
@attribute R29 numeric
@attribute R30 numeric
@attribute R31 numeric
@attribute R32 numeric
@attribute R33 numeric
@attribute R34 numeric
@attribute R35 numeric
@attribute R36 numeric
@attribute SKIR {Perut,Dada,Kepala}
@attribute SKAN {Kepala,Perut,Dada}
@attribute Label {Topeng,Badan,Awan,Anak,Maklum,Bola,Besar,Rujuk,Bingkai,Bingung,Sempit,Kijang,Samping,Lengkung,Gelombang,Selubung,Sama,Faedah}

@data
6,6,6,6,6,6,6,6,5,7,6,6,6,6,6,6,6,6,8,6,6,7,8,8,2,1,8,1,5,8,1,8,8,1,8,1,Perut,Perut,Besar
2,2,2,8,1,6,5,2,4,6,6,6,6,6,6,6,6,6,3,4,1,2,1,5,1,2,2,1,1,8,8,8,8,8,8,1,Perut,Perut,Besar
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,6,4,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,4,3,1,3,4,4,5,4,4,5,4,6,4,6,5,5,8,1,5,1,Dada,Dada,Rujuk
6,7,7,7,7,7,7,7,7,7,8,8,8,8,2,7,2,2,1,7,5,5,5,4,5,5,5,5,5,5,4,5,5,5,6,4,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,8,2,1,1,5,6,5,5,4,5,5,5,5,4,5,6,4,6,5,5,6,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,8,7,7,1,7,2,5,7,2,2,8,3,5,4,4,5,5,6,4,4,4,4,6,6,4,4,2,1,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,5,5,4,4,5,4,5,5,5,5,5,5,5,3,4,1,5,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,2,8,5,3,5,4,5,5,5,5,5,5,6,3,5,5,5,4,7,3,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,2,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,3,5,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,2,7,6,4,4,5,4,4,5,3,4,4,5,5,5,4,1,6,2,8,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,4,4,5,4,5,5,5,4,5,5,5,5,5,1,4,5,1,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,4,4,5,5,5,4,6,5,5,5,5,5,3,6,6,6,7,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,3,8,6,3,5,5,5,5,5,5,4,5,5,5,5,5,4,6,3,7,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,8,8,8,1,7,1,7,1,4,6,3,6,5,5,5,4,5,4,4,5,5,4,5,5,8,5,8,1,Dada,Dada,Rujuk
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,4,5,4,5,4,4,4,4,5,5,4,5,5,5,5,Dada,Dada,Rujuk
1,8,7,6,5,5,5,6,6,6,6,6,6,2,1,8,8,5,4,4,5,5,5,8,1,8,7,7,7,7,7,5,5,5,5,4,Dada,Dada,Bingkai
3,2,2,5,5,5,6,6,6,6,6,6,7,7,8,8,8,7,4,2,1,1,1,8,8,7,7,7,7,7,7,5,5,5,4,5,Dada,Dada,Bingkai
1,8,4,5,5,5,5,6,6,6,6,7,7,7,8,8,1,1,6,5,5,1,8,8,8,7,7,7,7,7,6,4,4,5,4,5,Dada,Dada,Bingkai
7,6,5,5,5,5,5,6,6,6,6,6,6,7,8,8,8,2,7,2,1,8,8,8,8,7,7,7,7,7,7,6,5,5,5,5,Dada,Dada,Bingkai
7,7,6,5,5,5,6,6,6,6,6,6,6,7,7,8,8,1,3,4,1,1,8,1,1,8,7,7,7,7,7,6,5,5,5,4,Dada,Dada,Bingkai
