Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R3,0.2452446,0.3017066,1.433928,-0.04944716,-0.00164175,-0.00467217,181.9016421,5
R3,0.2366151,0.2999537,1.433068,-0.008629441,-0.001752883,-0.000860095,191.4821686,5
R3,0.2285076,0.3005853,1.432269,-0.008107513,0.00063163,-0.00079906,175.54527,4
R3,0.2198778,0.2997574,1.429553,-0.008629829,-0.000827909,-0.002716303,185.479942,5
R3,0.2118727,0.29961,1.429151,-0.008005068,-0.000147373,-0.000401855,181.054694,5
R3,0.2027562,0.3014389,1.42766,-0.00911656,0.001828879,-0.001490474,168.6564297,4
R3,0.1487664,0.2886194,1.427008,-0.0539898,-0.01281956,-0.000651836,193.3571871,5
R3,0.1280277,0.2824448,1.426729,-0.02073868,-0.006174564,-0.000279665,196.5799408,5
R3,0.1155694,0.2813051,1.428914,-0.01245832,-0.001139671,0.002185106,185.2267963,5
R4,0.1880906,0.2699325,1.448572,0.01430652,-0.004139036,-0.002093077,343.8642532,8
R4,0.2014908,0.2673855,1.447145,0.01340029,-0.002547026,-0.001426816,349.2380263,8
R4,0.2145251,0.2664219,1.445636,0.01303425,-0.000963539,-0.00150907,355.7721788,8
R4,0.2276318,0.2638426,1.445479,0.01310667,-0.002579361,-0.000156522,348.8666035,8
R4,0.2395535,0.2627718,1.444781,0.01192172,-0.001070738,-0.000697851,354.867804,8
R4,0.4078954,0.2502094,1.442043,0.1683419,-0.01256239,-0.002738476,355.7322551,8
R4,0.4224901,0.2639381,1.442009,0.0145947,0.01372865,-3.40E-05,43.24859864,1
R4,0.4309229,0.2654323,1.442127,0.008432806,0.001494229,0.000118017,10.0480817,1
R4,0.4383534,0.2683367,1.441607,0.007430524,0.002904356,-0.000520229,21.34895097,1
R4,0.4454475,0.2696436,1.4415,0.007094055,0.001306981,-0.000106335,10.43889231,1
R4,0.4532462,0.2713245,1.441684,0.007798761,0.001680881,0.000184178,12.16300067,1
R4,0.4706238,0.2469315,1.446912,0.01737756,-0.02439302,0.005227089,305.4660289,7
R4,0.4700349,0.2432269,1.449103,-0.000588894,-0.003704563,0.002191782,260.9675828,6
R4,0.4698391,0.2427845,1.447777,-0.000195801,-0.00044243,-0.001326442,246.1278107,6
R4,0.4693801,0.2434097,1.447093,-0.000458986,0.000625193,-0.000684261,126.284259,3
R4,0.4689786,0.2444302,1.446624,-0.000401557,0.001020461,-0.000468612,111.4798855,3
R4,0.4676499,0.2446467,1.445284,-0.001328647,0.000216499,-0.001340389,170.745165,4
R4,0.4675207,0.2456981,1.44399,-0.000129223,0.001051471,-0.001293421,97.00636093,3
R4,0.4666954,0.2476165,1.44207,-0.000825256,0.001918361,-0.001919866,113.2768004,3
R4,0.4737383,0.2665877,1.420521,0.007042915,0.01897125,-0.02154887,69.63298515,2
R4,0.4223295,0.2602627,1.418776,-0.05140883,-0.006325036,-0.00174582,187.0140813,5
R4,0.416143,0.2561721,1.416455,-0.006186515,-0.004090607,-0.002321124,213.4732143,5
R4,0.4089223,0.2498716,1.417021,-0.007220745,-0.006300539,0.000566125,221.1066755,5
R4,0.3948145,0.2512382,1.414921,-0.01410779,0.001366645,-0.002099752,174.4669274,4
R4,0.3857889,0.2469626,1.414635,-0.009025604,-0.004275605,-0.000285745,205.3478293,5
R4,0.3735001,0.2453166,1.413766,-0.01228875,-0.001646012,-0.000869513,187.6290532,5
R4,0.3635958,0.2464257,1.413702,-0.009904325,0.001109153,-6.33E-05,173.6102554,4
R4,0.3387142,0.2471913,1.411679,-0.0248816,0.000765592,-0.002022982,178.2375993,4
R4,0.2194981,0.263142,1.415988,-0.1192161,0.01595072,0.004308581,172.3792734,4
R4,0.2052825,0.2608137,1.419294,-0.01421553,-0.002328336,0.003305912,189.3017808,5
R4,0.1963671,0.2611519,1.418837,-0.008915395,0.000338197,-0.000456452,177.8275822,4
R4,0.1851035,0.2630875,1.41899,-0.01126364,0.001935542,0.00015223,170.2495323,4
R4,0.1698368,0.2621636,1.419904,-0.01526669,-0.000923812,0.000913978,183.4628389,5
R4,0.1575278,0.2621332,1.41907,-0.012309,-3.04E-05,-0.000833988,180.1416364,5
R4,0.1464407,0.2646089,1.417961,-0.0110871,0.002475679,-0.00110817,167.4127063,4
R4,0.1334654,0.2644039,1.419052,-0.01297528,-0.000204951,0.001090765,180.9049383,5
R4,0.06418035,0.2649338,1.42129,-0.06928507,0.000529826,0.002237916,179.5618654,5
R4,-0.002214392,0.268694,1.436656,-0.06639475,0.003760189,0.01536632,176.7585831,4
R4,-0.00768027,0.270574,1.43836,-0.005465878,0.00188002,0.001703858,161.0190516,4
R4,-0.01263093,0.2748555,1.440803,-0.00495066,0.004281551,0.00244236,139.1452917,4
R5,0.1505898,0.2830399,1.456251,0.009802178,-0.001521409,-0.002207398,351.1774436,8
R5,0.1623951,0.280656,1.455411,0.01180527,-0.002383947,-0.00083971,348.5832719,8
R5,0.1747927,0.280025,1.453399,0.01239763,-0.000630975,-0.002012491,357.0864571,8
R5,0.1858151,0.2790301,1.453378,0.01102239,-0.000994921,-2.04E-05,354.8422535,8
R5,0.1970425,0.2755609,1.451774,0.01122737,-0.003469139,-0.001604438,342.8294022,8
R5,0.254829,0.2614817,1.446754,0.05778654,-0.01407921,-0.005019784,346.3071411,8
R5,0.2610069,0.2605884,1.446732,0.006177932,-0.000893265,-2.16E-05,351.7726415,8
R5,0.3362591,0.2591509,1.445619,0.07525218,-0.001437575,-0.001113296,358.905587,8
R5,0.3459519,0.2591062,1.447015,0.009692758,-4.46E-05,0.001395702,359.7361032,8
R5,0.3641315,0.261442,1.445439,0.0181796,0.002335787,-0.001576066,7.321476525,1
R5,0.3784603,0.2597302,1.445398,0.01432884,-0.001711786,-4.09E-05,353.1874816,8
R5,0.3931097,0.2595122,1.445376,0.01464942,-0.000218034,-2.23E-05,359.1473045,8
R5,0.4436878,0.2579349,1.445421,0.05057806,-0.001577288,4.54E-05,358.2137973,8
