Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R2,0.3507124,0.2476728,1.405522,-0.0079533,0.0003826,177.2458629,4
R2,0.3435196,0.2478478,1.404436,-0.0071928,0.000175,178.6062752,4
R2,0.3335832,0.2474138,1.405298,-0.0099364,-0.000434,182.5009635,5
R2,0.322508,0.2473162,1.405187,-0.0110752,-9.76E-05,180.504905,5
R2,0.2554653,0.2525425,1.414073,-0.0670427,0.0052263,175.5425339,4
R2,0.1511218,0.2673688,1.429252,-0.1043435,0.0148263,171.9129061,4
R2,0.1454389,0.2688947,1.42936,-0.0056829,0.0015259,164.9701703,4
R2,0.03472129,0.2846086,1.449356,-0.11071761,0.0157139,171.9220904,4
R3,0.2278457,0.3034969,1.295,0.19312441,0.0188883,5.585978773,1
R3,0.239781,0.3027261,1.292431,0.0119353,-0.0007708,356.3048821,8
R3,0.4154662,0.309329,1.267899,0.1756852,0.0066029,2.152374384,1
R3,0.4177258,0.3038179,1.267514,0.0022596,-0.0055111,292.2940653,7
R3,0.4252796,0.3027667,1.266091,0.0075538,-0.0010512,352.0775001,8
R3,0.4386161,0.3026749,1.264787,0.0133365,-9.18E-05,359.6056185,8
R3,0.4494858,0.3007068,1.263507,0.0108697,-0.0019681,349.7370457,8
R3,0.4602048,0.2998025,1.263225,0.010719,-0.0009043,355.1777056,8
R3,0.4729989,0.2998913,1.262776,0.0127941,0.0000888,0.397666387,1
R3,0.4868804,0.300232,1.260554,0.0138815,0.0003407,1.405954246,1
R3,0.4999151,0.3018608,1.260239,0.0130347,0.0016288,7.122690032,1
R3,0.5108154,0.3002059,1.258628,0.0109003,-0.0016549,351.3671935,8
R3,0.5532055,0.2977353,1.253603,0.0423901,-0.0024706,356.6644335,8
R3,0.5578654,0.2947533,1.25257,0.0046599,-0.002982,327.3836878,8
R3,0.565697,0.2932825,1.250513,0.0078316,-0.0014708,349.3635603,8
R3,0.5714188,0.2917571,1.249155,0.0057218,-0.0015254,345.0724471,8
R3,0.5799078,0.2888008,1.247122,0.008489,-0.0029563,340.7992931,8
R3,0.5858529,0.2880847,1.246234,0.0059451,-0.0007161,353.1316902,8
R3,0.5882363,0.2858182,1.245622,0.0023834,-0.0022665,316.4401312,8
R3,0.5916238,0.2846391,1.245697,0.0033875,-0.0011791,340.8083318,8
R3,0.5879633,0.2807074,1.245647,-0.0036605,-0.0039317,227.0457853,6
R3,0.5804974,0.2804178,1.244276,-0.0074659,-0.0002896,182.2213723,5
R3,0.523876,0.2794778,1.250553,-0.0566214,-0.00094,180.9511083,5
R3,0.5123857,0.2810436,1.250361,-0.0114903,0.0015658,172.2400187,4
R3,0.5012318,0.2843007,1.25282,-0.0111539,0.0032571,163.7214326,4
R3,0.4785026,0.2888318,1.257233,-0.0227292,0.0045311,168.7257995,4
R3,0.467157,0.2935451,1.25854,-0.0113456,0.0047133,157.4405469,4
R3,0.455555,0.2990613,1.261242,-0.011602,0.0055162,154.5711317,4
R3,0.2944293,0.3101235,1.298748,-0.1611257,0.0110622,176.0724805,4
R3,0.2847247,0.3110533,1.299392,-0.0097046,0.0009298,174.5271832,4
R3,0.2759775,0.3125367,1.301702,-0.0087472,0.0014834,170.3750274,4
R3,0.265627,0.3122421,1.303955,-0.0103505,-0.0002946,181.6303348,5
R3,0.2541606,0.3135895,1.307148,-0.0114664,0.0013474,173.2979911,4
R3,0.2354274,0.3143841,1.311348,-0.0187332,0.0007946,177.5711597,4
R3,0.2267517,0.3202166,1.312557,-0.0086757,0.0058325,146.0878469,4
R3,0.2171883,0.3209247,1.314335,-0.0095634,0.0007081,175.7653927,4
R3,0.1796307,0.3289364,1.32427,-0.0375576,0.0080117,167.9582828,4
R3,0.1704464,0.3299506,1.325788,-0.0091843,0.0010142,173.6984971,4
R3,0.1524635,0.3340872,1.331077,-0.0179829,0.0041366,167.0456226,4
R3,0.1468696,0.3363548,1.333611,-0.0055939,0.0022676,157.933836,4
R4,0.1446406,0.322795,1.292335,-0.002229,-0.0135598,260.6650354,6
R4,0.1694886,0.3121385,1.285413,0.024848,-0.0106565,336.787079,8
R4,0.1791202,0.3122734,1.283663,0.0096316,0.0001349,0.802431092,1
R4,0.2400347,0.3035952,1.282789,0.0609145,-0.0086782,351.8919031,8
R4,0.3664537,0.3048858,1.275392,0.126419,0.0012906,0.584907049,1
R4,0.3781209,0.3033627,1.274672,0.0116672,-0.0015231,352.5623568,8
R4,0.3823298,0.3001657,1.274073,0.0042089,-0.003197,322.7803905,8
R4,0.3962712,0.300074,1.274655,0.0139414,-9.17E-05,359.6231406,8
R4,0.479619,0.3047036,1.282463,0.0833478,0.0046296,3.179259024,1
R4,0.4762979,0.2944432,1.281237,-0.0033211,-0.0102604,252.0642007,6
R4,0.4759516,0.2921824,1.282087,-0.0003463,-0.0022608,261.2913582,6
R4,0.475325,0.2912126,1.282425,-0.0006266,-0.0009698,237.1329882,6
R4,0.4755605,0.2917264,1.283537,0.0002355,0.0005138,65.37566726,2
R4,0.479782,0.287207,1.285806,0.0042215,-0.0045194,313.048049,7
R4,0.4841292,0.284874,1.286208,0.0043472,-0.002333,331.7790002,8
R4,0.5078099,0.2700112,1.28529,0.0236807,-0.0148628,327.8862422,8
R4,0.502223,0.2653238,1.280933,-0.0055869,-0.0046874,219.9965952,5
R4,0.4979694,0.2636699,1.279868,-0.0042536,-0.0016539,201.2472553,5
R4,0.492938,0.2604772,1.278798,-0.0050314,-0.0031927,212.3973734,5
R4,0.4853796,0.262952,1.279893,-0.0075584,0.0024748,161.870322,4
R4,0.4773555,0.2687236,1.280858,-0.0080241,0.0057716,144.2731714,4
R4,0.4788581,0.2854782,1.282549,0.0015026,0.0167546,84.87526225,2
R4,0.4717127,0.2958344,1.285068,-0.0071454,0.0103562,124.6042588,3
R4,0.4652954,0.3050116,1.28834,-0.0064173,0.0091772,124.9637691,3
R4,0.4041471,0.3194754,1.295981,-0.0611483,0.0144638,166.692054,4
R4,0.395086,0.3237187,1.29842,-0.0090611,0.0042433,154.9063753,4
R4,0.3226604,0.3232985,1.309824,-0.0724256,-0.0004202,180.3324158,5
R4,0.3143534,0.3253726,1.313092,-0.008307,0.0020741,165.9809605,4
R4,0.3050326,0.3251947,1.314146,-0.0093208,-0.0001779,181.0934342,5
R4,0.2940367,0.3249895,1.316516,-0.0109959,-0.0002052,181.0691012,5
R4,0.2824123,0.3224545,1.31788,-0.0116244,-0.002535,192.3022158,5
R4,0.2735444,0.3232311,1.320213,-0.0088679,0.0007766,174.9951316,4
R4,0.2625654,0.3204996,1.323098,-0.010979,-0.0027315,193.9711451,5
R4,0.1432806,0.3283244,1.364979,-0.1192848,0.0078248,176.2469098,4
R4,0.1396894,0.3283237,1.366042,-0.0035912,-7E-07,180.0111681,5
R4,0.1231643,0.330307,1.369026,-0.0165251,0.0019833,173.1562422,4
R4,0.1169285,0.3335549,1.368236,-0.0062358,0.0032479,152.487365,4
R4,0.1068549,0.3343517,1.366962,-0.0100736,0.0007968,175.4774437,4
R4,0.09902237,0.3344147,1.366434,-0.00783253,6.3E-05,179.5391583,5
R4,0.09496094,0.3342194,1.365154,-0.00406143,-0.0001953,182.7530335,5
R5,0.123253,0.2419302,1.456509,0.02829206,-0.0922892,287.0433781,7
R5,0.1456476,0.2294831,1.453473,0.0223946,-0.0124471,330.9343402,8
R5,0.1566457,0.2244197,1.451729,0.0109981,-0.0050634,335.2791952,8
R5,0.1707126,0.2174941,1.451811,0.0140669,-0.0069256,333.7874518,8
R5,0.1835549,0.2145456,1.451357,0.0128423,-0.0029485,347.0693945,8
R5,0.1982862,0.2142819,1.451144,0.0147313,-0.0002637,358.9744772,8
R5,0.2261076,0.2094769,1.451262,0.0278214,-0.004805,350.2011803,8
R5,0.2379908,0.2051831,1.451565,0.0118832,-0.0042938,340.1335069,8
R5,0.2534242,0.2023552,1.451898,0.0154334,-0.0028279,349.6167334,8
R5,0.3299583,0.1933432,1.454081,0.0765341,-0.009012,353.2842647,8
R5,0.3750087,0.1903634,1.456808,0.0450504,-0.0029798,356.2157576,8
R5,0.4258316,0.1823494,1.461362,0.0508229,-0.008014,351.0391084,8
R5,0.4578455,0.1639558,1.46466,0.0320139,-0.0183936,330.1204601,8
R5,0.4669622,0.1602019,1.465298,0.0091167,-0.0037539,337.6200546,8
R5,0.4993338,0.1439466,1.466719,0.0323716,-0.0162553,333.3366247,8
R5,0.5084796,0.142136,1.466762,0.0091458,-0.0018106,348.801912,8
R5,0.5095832,0.1409092,1.467909,0.0011036,-0.0012268,311.9737921,7
R5,0.511452,0.1413922,1.467968,0.0018688,0.000483,14.49124801,1
R5,0.5083137,0.1439197,1.465578,-0.0031383,0.0025275,141.1529927,4
R5,0.5034052,0.1458944,1.464288,-0.0049085,0.0019747,158.084972,4
R5,0.5005535,0.149436,1.463413,-0.0028517,0.0035416,128.8410537,3
R5,0.4943934,0.15412,1.462059,-0.0061601,0.004684,142.7514668,4
R5,0.4870467,0.1583648,1.460626,-0.0073467,0.0042448,149.9813987,4
R5,0.4816734,0.1637886,1.459164,-0.0053733,0.0054238,134.7320192,4
