Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R2,0.06610803,0.02172203,1.410486,-0.03730647,-0.06259209,239.2039877,6
R2,-0.04441552,-0.02235274,1.40036,-0.11052355,-0.04407477,201.7412092,5
R2,-0.05154301,-0.01997216,1.400546,-0.00712749,0.00238058,161.5306926,4
R2,-0.06366031,-0.01638341,1.401157,-0.0121173,0.00358875,163.5024247,4
R2,-0.08026569,-0.01127962,1.399438,-0.01660538,0.00510379,162.9147906,4
R2,-0.09716238,-0.005716969,1.397356,-0.01689669,0.005562651,161.7776577,4
R2,-0.1117623,-0.000561754,1.396752,-0.01459992,0.005155215,160.5519321,4
R2,-0.2652638,0.1565051,1.361075,-0.1535015,0.157066854,134.3422679,4
R2,-0.2809378,0.1623944,1.355103,-0.015674,0.0058893,159.4069484,4
R2,-0.2840408,0.1746864,1.35342,-0.003103,0.012292,104.1677788,3
R2,-0.2851479,0.1837903,1.350898,-0.0011071,0.0091039,96.93353596,3
R2,-0.2850174,0.1938868,1.348613,0.0001305,0.0100965,89.25947775,3
R2,-0.2872725,0.2073206,1.342544,-0.0022551,0.0134338,99.52925884,3
R2,-0.148185,0.3317486,1.34982,0.1390875,0.124428,41.8158889,1
R2,-0.1415692,0.3332249,1.349575,0.0066158,0.0014763,12.57932386,1
R2,-0.131671,0.3369353,1.351666,0.0098982,0.0037104,20.54881321,1
R2,-0.1206303,0.3419445,1.35392,0.0110407,0.0050092,24.4039438,1
R2,-0.1093305,0.3484446,1.357841,0.0112998,0.0065001,29.90924661,1
R2,-0.08398675,0.3630713,1.36883,0.02534375,0.0146267,29.99063813,1
R2,-0.08157419,0.3612743,1.367844,0.00241256,-0.001797,323.319345,8
R3,0.04397428,0.3855413,1.366886,0.12554847,0.024267,10.93967599,1
R3,0.07255206,0.3832116,1.366569,0.02857778,-0.0023297,355.3394751,8
R3,0.09088216,0.380217,1.368182,0.0183301,-0.0029946,350.7215203,8
R3,0.1107771,0.3754563,1.369971,0.01989494,-0.0047607,346.5426289,8
R3,0.1318737,0.3671322,1.369699,0.0210966,-0.0083241,338.467261,8
R3,0.173542,0.3474323,1.371905,0.0416683,-0.0196999,334.6961959,8
R3,0.1915195,0.3374659,1.373803,0.0179775,-0.0099664,330.9968087,8
R3,0.2078726,0.3268851,1.375844,0.0163531,-0.0105808,327.0962825,8
R3,0.2206074,0.3137591,1.376706,0.0127348,-0.013126,314.1333447,8
R3,0.2340908,0.3008985,1.379987,0.0134834,-0.0128606,316.3542805,8
R3,0.2473455,0.2861015,1.381464,0.0132547,-0.014797,311.8530107,7
R3,0.1864402,-0.022761,1.379552,-0.0609053,-0.3088625,258.844834,6
R3,0.1080095,-0.04541472,1.377518,-0.0784307,-0.02265372,196.1106957,5
R3,0.08947471,-0.04502367,1.376495,-0.01853479,0.00039105,178.7913437,4
R3,0.08441321,-0.04431481,1.375878,-0.0050615,0.00070886,172.027614,4
R3,0.07234178,-0.04101629,1.376557,-0.01207143,0.00329852,164.7170007,4
R3,0.05800122,-0.03632648,1.377319,-0.01434056,0.00468981,161.8906423,4
R3,0.04622428,-0.03023587,1.376202,-0.01177694,0.00609061,152.6536198,4
R3,0.03580782,-0.02630531,1.375718,-0.01041646,0.00393056,159.3264401,4
R3,0.01981628,-0.02057295,1.375536,-0.01599154,0.00573236,160.2791707,4
R3,-0.02378239,-0.002571076,1.371398,-0.04359867,0.018001874,157.5642885,4
R3,-0.138865,0.1336188,1.336274,-0.11508261,0.136189876,130.1983412,3
R3,-0.1780281,0.136579,1.32525,-0.0391631,0.0029602,175.6774345,4
R3,-0.1885651,0.1663001,1.320103,-0.010537,0.0297211,109.5209067,3
R3,-0.1968505,0.1824667,1.316547,-0.0082854,0.0161666,117.1351887,3
R3,-0.2037584,0.1952872,1.313843,-0.0069079,0.0128205,118.3165305,3
R3,-0.2174323,0.2139002,1.312535,-0.0136739,0.018613,126.3025836,3
R3,-0.2195651,0.2206138,1.308579,-0.0021328,0.0067136,107.6241942,3
R3,-0.225827,0.2446435,1.306023,-0.0062619,0.0240297,104.6058767,3
R3,-0.2061332,0.2892987,1.303119,0.0196938,0.0446552,66.20160037,2
R3,-0.1347917,0.3338816,1.307029,0.0713415,0.0445829,32.00218505,1
R3,-0.1256433,0.3388374,1.305549,0.0091484,0.0049558,28.44494617,1
R3,-0.1117767,0.345543,1.306916,0.0138666,0.0067056,25.80744704,1
R3,-0.09789903,0.3572247,1.310002,0.01387767,0.0116817,40.08940981,1
R3,-0.08564411,0.3629075,1.310996,0.01225492,0.0056828,24.87789979,1
R3,-0.07007843,0.3742502,1.317576,0.01556568,0.0113427,36.08079698,1
